Machine Module,N9343C,CN0605A247
MCU Version,A.05.14
DSP Version,A.05.02.00 SA
FPGA Version,A.02.80
07:31:55 02.14.2019
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),0.176897,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+8.000000000e+07
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+04,MAN
VBW,+1.000000000e+04,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,+2.991226006e+01
Attenuation,50,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,41.21 MHz,640.6 mV
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+0.000000000e+00,+4.567886006e+00,
+1.739130435e+05,+3.114256662e-02,
+3.478260870e+05,+3.788296325e-02,
+5.217391304e+05,+2.019037086e-02,
+6.956521739e+05,+9.341479689e-03,
+8.695652174e+05,+4.905580517e-03,
+1.043478261e+06,+4.333506215e-01,
+1.217391304e+06,+4.338263741e-01,
+1.391304348e+06,+4.329134860e-01,
+1.565217391e+06,+4.345902346e-01,
+1.739130435e+06,+4.343377223e-01,
+1.913043478e+06,+4.318288339e-01,
+2.086956522e+06,+4.321603543e-01,
+2.260869565e+06,+4.301937235e-01,
+2.434782609e+06,+4.295444703e-01,
+2.608695652e+06,+4.315888723e-01,
+2.782608696e+06,+4.304656853e-01,
+2.956521739e+06,+4.291341668e-01,
+3.130434783e+06,+4.307076233e-01,
+3.304347826e+06,+4.296874191e-01,
+3.478260870e+06,+4.283576259e-01,
+3.652173913e+06,+4.303985766e-01,
+3.826086957e+06,+4.290930826e-01,
+4.000000000e+06,+4.273332522e-01,
+4.173913043e+06,+4.293741543e-01,
+4.347826087e+06,+4.287325399e-01,
+4.521739130e+06,+4.261601209e-01,
+4.695652174e+06,+4.290542635e-01,
+4.869565217e+06,+4.281092991e-01,
+5.043478261e+06,+4.265621480e-01,
+5.217391304e+06,+4.283762510e-01,
+5.391304348e+06,+4.281951146e-01,
+5.565217391e+06,+4.253332919e-01,
+5.739130435e+06,+4.293544252e-01,
+5.913043478e+06,+4.284020263e-01,
+6.086956522e+06,+4.270049426e-01,
+6.260869565e+06,+4.298829687e-01,
+6.434782609e+06,+4.281321205e-01,
+6.608695652e+06,+4.248256879e-01,
+6.782608696e+06,+4.253058333e-01,
+6.956521739e+06,+4.216539190e-01,
+7.130434783e+06,+4.201618808e-01,
+7.304347826e+06,+4.207453943e-01,
+7.478260870e+06,+4.189689429e-01,
+7.652173913e+06,+4.169937977e-01,
+7.826086957e+06,+4.198529100e-01,
+8.000000000e+06,+4.181645140e-01,
+8.173913043e+06,+4.163131997e-01,
+8.347826087e+06,+4.187618054e-01,
+8.521739130e+06,+4.174593390e-01,
+8.695652174e+06,+4.157360156e-01,
+8.869565217e+06,+4.168362612e-01,
+9.043478261e+06,+4.148992306e-01,
+9.217391304e+06,+4.152942140e-01,
+9.391304348e+06,+4.162490286e-01,
+9.565217391e+06,+4.156673696e-01,
+9.739130435e+06,+4.155862550e-01,
+9.913043478e+06,+4.230622006e-01,
+1.008695652e+07,+4.227859106e-01,
+1.026086957e+07,+4.209280933e-01,
+1.043478261e+07,+4.226372763e-01,
+1.060869565e+07,+4.225951669e-01,
+1.078260870e+07,+4.217336711e-01,
+1.095652174e+07,+4.233223101e-01,
+1.113043478e+07,+4.232417232e-01,
+1.130434783e+07,+4.224491044e-01,
+1.147826087e+07,+4.240868359e-01,
+1.165217391e+07,+4.236649061e-01,
+1.182608696e+07,+4.221205844e-01,
+1.200000000e+07,+4.245563571e-01,
+1.217391304e+07,+4.240478179e-01,
+1.234782609e+07,+4.227196975e-01,
+1.252173913e+07,+4.255462030e-01,
+1.269565217e+07,+4.243643487e-01,
+1.286956522e+07,+4.236888163e-01,
+1.304347826e+07,+4.251281424e-01,
+1.321739130e+07,+4.240587826e-01,
+1.339130435e+07,+4.236971666e-01,
+1.356521739e+07,+4.251502681e-01,
+1.373913043e+07,+4.259264425e-01,
+1.391304348e+07,+4.244301438e-01,
+1.408695652e+07,+4.266148872e-01,
+1.426086957e+07,+4.263791571e-01,
+1.443478261e+07,+4.254723867e-01,
+1.460869565e+07,+4.269939017e-01,
+1.478260870e+07,+4.265448195e-01,
+1.495652174e+07,+4.249906301e-01,
+1.513043478e+07,+4.271118734e-01,
+1.530434783e+07,+4.266071118e-01,
+1.547826087e+07,+4.260633455e-01,
+1.565217391e+07,+4.280255216e-01,
+1.582608696e+07,+4.265262507e-01,
+1.600000000e+07,+4.259377130e-01,
+1.617391304e+07,+4.272790168e-01,
+1.634782609e+07,+4.270866446e-01,
+1.652173913e+07,+4.266013037e-01,
+1.669565217e+07,+4.279154725e-01,
+1.686956522e+07,+4.273614282e-01,
+1.704347826e+07,+4.263226088e-01,
+1.721739130e+07,+4.274399837e-01,
+1.739130435e+07,+4.258796334e-01,
+1.756521739e+07,+4.259410101e-01,
+1.773913043e+07,+4.313608606e-01,
+1.791304348e+07,+4.290326885e-01,
+1.808695652e+07,+4.274267493e-01,
+1.826086957e+07,+4.288914644e-01,
+1.843478261e+07,+4.276852926e-01,
+1.860869565e+07,+4.267410708e-01,
+1.878260870e+07,+4.285158704e-01,
+1.895652174e+07,+4.275393015e-01,
+1.913043478e+07,+4.252814583e-01,
+1.930434783e+07,+4.261000460e-01,
+1.947826087e+07,+4.258939655e-01,
+1.965217391e+07,+4.237114253e-01,
+1.982608696e+07,+4.237612995e-01,
+2.000000000e+07,+4.217421912e-01,
+2.017391304e+07,+4.213148226e-01,
+2.034782609e+07,+4.222001235e-01,
+2.052173913e+07,+4.196594348e-01,
+2.069565217e+07,+4.178274670e-01,
+2.086956522e+07,+4.192755369e-01,
+2.104347826e+07,+4.166232937e-01,
+2.121739130e+07,+4.145951312e-01,
+2.139130435e+07,+4.154860416e-01,
+2.156521739e+07,+4.136657518e-01,
+2.173913043e+07,+4.113972413e-01,
+2.191304348e+07,+4.116156269e-01,
+2.208695652e+07,+4.109681949e-01,
+2.226086957e+07,+4.082949086e-01,
+2.243478261e+07,+4.116433090e-01,
+2.260869565e+07,+4.088683834e-01,
+2.278260870e+07,+4.073489248e-01,
+2.295652174e+07,+4.072632403e-01,
+2.313043478e+07,+4.060931246e-01,
+2.330434783e+07,+4.037333790e-01,
+2.347826087e+07,+4.046678563e-01,
+2.365217391e+07,+4.024382615e-01,
+2.382608696e+07,+3.992589535e-01,
+2.400000000e+07,+4.006946905e-01,
+2.417391304e+07,+3.976375037e-01,
+2.434782609e+07,+3.968840540e-01,
+2.452173913e+07,+3.970578957e-01,
+2.469565217e+07,+3.948262698e-01,
+2.486956522e+07,+3.920586934e-01,
+2.504347826e+07,+3.930504649e-01,
+2.521739130e+07,+3.901088211e-01,
+2.539130435e+07,+3.895241916e-01,
+2.556521739e+07,+3.894793732e-01,
+2.573913043e+07,+3.871960586e-01,
+2.591304348e+07,+3.853076605e-01,
+2.608695652e+07,+3.854509959e-01,
+2.626086957e+07,+3.835827745e-01,
+2.643478261e+07,+3.822214867e-01,
