Machine Module,N9343C,CN0605A247
MCU Version,A.05.14
DSP Version,A.05.02.00 SA
FPGA Version,A.02.80
06:22:08 02.14.2019
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),0.384343,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+8.000000000e+07
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+03,MAN
VBW,+3.000000000e+03,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,+2.991226006e+01
Attenuation,50,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,41.21 MHz,434.6 mV
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+0.000000000e+00,+4.544219915e+00,
+1.739130435e+05,+1.791064220e-02,
+3.478260870e+05,+2.130201669e-02,
+5.217391304e+05,+1.155071320e-02,
+6.956521739e+05,+5.081421798e-03,
+8.695652174e+05,+3.069786818e-03,
+1.043478261e+06,+7.706043577e-01,
+1.217391304e+06,+7.660610100e-01,
+1.391304348e+06,+7.630905414e-01,
+1.565217391e+06,+7.650984682e-01,
+1.739130435e+06,+7.628665354e-01,
+1.913043478e+06,+7.641573559e-01,
+2.086956522e+06,+7.618073780e-01,
+2.260869565e+06,+7.602406801e-01,
+2.434782609e+06,+7.573791756e-01,
+2.608695652e+06,+7.623619673e-01,
+2.782608696e+06,+7.599188831e-01,
+2.956521739e+06,+7.569214512e-01,
+3.130434783e+06,+7.604498878e-01,
+3.304347826e+06,+7.584964656e-01,
+3.478260870e+06,+7.562019222e-01,
+3.652173913e+06,+7.605196922e-01,
+3.826086957e+06,+7.582644837e-01,
+4.000000000e+06,+7.563072088e-01,
+4.173913043e+06,+7.586099011e-01,
+4.347826087e+06,+7.578100517e-01,
+4.521739130e+06,+7.560719119e-01,
+4.695652174e+06,+7.601124791e-01,
+4.869565217e+06,+7.577233577e-01,
+5.043478261e+06,+7.528257662e-01,
+5.217391304e+06,+7.580918341e-01,
+5.391304348e+06,+7.565406685e-01,
+5.565217391e+06,+7.532968938e-01,
+5.739130435e+06,+7.576388364e-01,
+5.913043478e+06,+7.569862773e-01,
+6.086956522e+06,+7.543399121e-01,
+6.260869565e+06,+7.585420210e-01,
+6.434782609e+06,+7.564546180e-01,
+6.608695652e+06,+7.548966905e-01,
+6.782608696e+06,+7.578201195e-01,
+6.956521739e+06,+7.540813819e-01,
+7.130434783e+06,+7.487514208e-01,
+7.304347826e+06,+7.517161690e-01,
+7.478260870e+06,+7.474150618e-01,
+7.652173913e+06,+7.454293168e-01,
+7.826086957e+06,+7.466619386e-01,
+8.000000000e+06,+7.432334636e-01,
+8.173913043e+06,+7.391181074e-01,
+8.347826087e+06,+7.406790092e-01,
+8.521739130e+06,+7.376335435e-01,
+8.695652174e+06,+7.366071549e-01,
+8.869565217e+06,+7.397130291e-01,
+9.043478261e+06,+7.369673045e-01,
+9.217391304e+06,+7.338105150e-01,
+9.391304348e+06,+7.392051075e-01,
+9.565217391e+06,+7.384124215e-01,
+9.739130435e+06,+7.367135959e-01,
+9.913043478e+06,+7.500969224e-01,
+1.008695652e+07,+7.503781437e-01,
+1.026086957e+07,+7.490360851e-01,
+1.043478261e+07,+7.521303626e-01,
+1.060869565e+07,+7.527812980e-01,
+1.078260870e+07,+7.503596889e-01,
+1.095652174e+07,+7.518956221e-01,
+1.113043478e+07,+7.510795964e-01,
+1.130434783e+07,+7.522688633e-01,
+1.147826087e+07,+7.550223538e-01,
+1.165217391e+07,+7.532848184e-01,
+1.182608696e+07,+7.504527912e-01,
+1.200000000e+07,+7.531516711e-01,
+1.217391304e+07,+7.518962826e-01,
+1.234782609e+07,+7.508914340e-01,
+1.252173913e+07,+7.526852622e-01,
+1.269565217e+07,+7.515329630e-01,
+1.286956522e+07,+7.489127337e-01,
+1.304347826e+07,+7.522999200e-01,
+1.321739130e+07,+7.500731215e-01,
+1.339130435e+07,+7.487034940e-01,
+1.356521739e+07,+7.501521040e-01,
+1.373913043e+07,+7.508462556e-01,
+1.391304348e+07,+7.485206113e-01,
+1.408695652e+07,+7.472939465e-01,
+1.426086957e+07,+7.475778926e-01,
+1.443478261e+07,+7.457254909e-01,
+1.460869565e+07,+7.461109061e-01,
+1.478260870e+07,+7.460253867e-01,
+1.495652174e+07,+7.430501222e-01,
+1.513043478e+07,+7.448258723e-01,
+1.530434783e+07,+7.435698294e-01,
+1.547826087e+07,+7.421352341e-01,
+1.565217391e+07,+7.440415366e-01,
+1.582608696e+07,+7.388737178e-01,
+1.600000000e+07,+7.356075546e-01,
+1.617391304e+07,+7.376529812e-01,
+1.634782609e+07,+7.354909369e-01,
+1.652173913e+07,+7.329414454e-01,
+1.669565217e+07,+7.333159861e-01,
+1.686956522e+07,+7.292139092e-01,
+1.704347826e+07,+7.259674905e-01,
+1.721739130e+07,+7.264460568e-01,
+1.739130435e+07,+7.232111664e-01,
+1.756521739e+07,+7.207301964e-01,
+1.773913043e+07,+7.261958107e-01,
+1.791304348e+07,+7.247559815e-01,
+1.808695652e+07,+7.222519487e-01,
+1.826086957e+07,+7.180278136e-01,
+1.843478261e+07,+7.143423975e-01,
+1.860869565e+07,+7.119951904e-01,
+1.878260870e+07,+7.105376431e-01,
+1.895652174e+07,+7.066393259e-01,
+1.913043478e+07,+7.016221208e-01,
+1.930434783e+07,+7.031932378e-01,
+1.947826087e+07,+6.987075568e-01,
+1.965217391e+07,+6.926306027e-01,
+1.982608696e+07,+6.913180437e-01,
+2.000000000e+07,+6.874327077e-01,
+2.017391304e+07,+6.841445064e-01,
+2.034782609e+07,+6.813991240e-01,
+2.052173913e+07,+6.778988834e-01,
+2.069565217e+07,+6.731264593e-01,
+2.086956522e+07,+6.743477617e-01,
+2.104347826e+07,+6.662972018e-01,
+2.121739130e+07,+6.612311484e-01,
+2.139130435e+07,+6.606111414e-01,
+2.156521739e+07,+6.567537898e-01,
+2.173913043e+07,+6.520226200e-01,
+2.191304348e+07,+6.484558075e-01,
+2.208695652e+07,+6.440739348e-01,
+2.226086957e+07,+6.390071813e-01,
+2.243478261e+07,+6.423226891e-01,
+2.260869565e+07,+6.404389307e-01,
+2.278260870e+07,+6.318267886e-01,
+2.295652174e+07,+6.314271939e-01,
+2.313043478e+07,+6.261738583e-01,
+2.330434783e+07,+6.215309211e-01,
+2.347826087e+07,+6.200146733e-01,
+2.365217391e+07,+6.130878137e-01,
+2.382608696e+07,+6.085725087e-01,
+2.400000000e+07,+6.037464539e-01,
+2.417391304e+07,+6.009234692e-01,
+2.434782609e+07,+5.954267269e-01,
+2.452173913e+07,+5.939951612e-01,
+2.469565217e+07,+5.905824826e-01,
+2.486956522e+07,+5.846686722e-01,
+2.504347826e+07,+5.847211212e-01,
+2.521739130e+07,+5.773944973e-01,
+2.539130435e+07,+5.719144525e-01,
+2.556521739e+07,+5.718288082e-01,
+2.573913043e+07,+5.643170797e-01,
+2.591304348e+07,+5.591663862e-01,
+2.608695652e+07,+5.575281860e-01,
+2.626086957e+07,+5.530628620e-01,
+2.643478261e+07,+5.494427388e-01,
