"time";"ft";"r Pr3.Vt";"i Pr3.Vt"
2e-07;1e+07;-0.074599;0
2.003e-07;1e+07;-0.0508872;0
2.006e-07;1e+07;-0.027039;0
2.009e-07;1e+07;-0.00301915;0
2.012e-07;1e+07;0.0211968;0
2.015e-07;1e+07;0.0456153;0
2.018e-07;1e+07;0.0702217;0
2.021e-07;1e+07;0.0949817;0
2.024e-07;1e+07;0.119846;0
2.027e-07;1e+07;0.144752;0
2.03e-07;1e+07;0.169631;0
2.033e-07;1e+07;0.194409;0
2.036e-07;1e+07;0.219013;0
2.039e-07;1e+07;0.24337;0
2.042e-07;1e+07;0.267414;0
2.045e-07;1e+07;0.291081;0
2.048e-07;1e+07;0.314319;0
2.051e-07;1e+07;0.337085;0
2.054e-07;1e+07;0.359354;0
2.057e-07;1e+07;0.381123;0
2.06e-07;1e+07;0.402416;0
2.063e-07;1e+07;0.423282;0
2.066e-07;1e+07;0.443792;0
2.069e-07;1e+07;0.464026;0
2.072e-07;1e+07;0.484063;0
2.075e-07;1e+07;0.503979;0
2.078e-07;1e+07;0.523838;0
2.081e-07;1e+07;0.54369;0
2.084e-07;1e+07;0.563568;0
2.087e-07;1e+07;0.58349;0
2.09e-07;1e+07;0.603459;0
2.093e-07;1e+07;0.623461;0
2.096e-07;1e+07;0.643474;0
2.099e-07;1e+07;0.663464;0
2.102e-07;1e+07;0.683391;0
2.105e-07;1e+07;0.703209;0
2.108e-07;1e+07;0.722873;0
2.111e-07;1e+07;0.742334;0
2.114e-07;1e+07;0.761551;0
2.117e-07;1e+07;0.780481;0
2.12e-07;1e+07;0.799089;0
2.123e-07;1e+07;0.817346;0
2.126e-07;1e+07;0.835228;0
2.129e-07;1e+07;0.852718;0
2.132e-07;1e+07;0.869805;0
2.135e-07;1e+07;0.886483;0
2.138e-07;1e+07;0.90275;0
2.141e-07;1e+07;0.918609;0
2.144e-07;1e+07;0.934066;0
2.147e-07;1e+07;0.949128;0
2.15e-07;1e+07;0.963803;0
2.153e-07;1e+07;0.9781;0
2.156e-07;1e+07;0.992027;0
2.159e-07;1e+07;1.00559;0
2.162e-07;1e+07;1.0188;0
2.165e-07;1e+07;1.03165;0
2.168e-07;1e+07;1.04416;0
2.171e-07;1e+07;1.05631;0
2.174e-07;1e+07;1.0681;0
2.177e-07;1e+07;1.07954;0
2.18e-07;1e+07;1.09061;0
2.183e-07;1e+07;1.10132;0
2.186e-07;1e+07;1.11165;0
2.189e-07;1e+07;1.12159;0
2.192e-07;1e+07;1.13113;0
2.195e-07;1e+07;1.14028;0
2.198e-07;1e+07;1.14901;0
2.201e-07;1e+07;1.15733;0
2.204e-07;1e+07;1.16523;0
2.207e-07;1e+07;1.17269;0
2.21e-07;1e+07;1.17972;0
2.213e-07;1e+07;1.18631;0
2.216e-07;1e+07;1.19246;0
2.219e-07;1e+07;1.19817;0
2.222e-07;1e+07;1.20343;0
