"time";"ft";"r Pr3.Vt";"i Pr3.Vt"
2e-07;1e+07;0.0619742;0
2.003e-07;1e+07;0.0871006;0
2.006e-07;1e+07;0.112061;0
2.009e-07;1e+07;0.136789;0
2.012e-07;1e+07;0.161246;0
2.015e-07;1e+07;0.185411;0
2.018e-07;1e+07;0.209273;0
2.021e-07;1e+07;0.232826;0
2.024e-07;1e+07;0.256064;0
2.027e-07;1e+07;0.278977;0
2.03e-07;1e+07;0.301554;0
2.033e-07;1e+07;0.32379;0
2.036e-07;1e+07;0.345697;0
2.039e-07;1e+07;0.367315;0
2.042e-07;1e+07;0.388723;0
2.045e-07;1e+07;0.410012;0
2.048e-07;1e+07;0.431266;0
2.051e-07;1e+07;0.452535;0
2.054e-07;1e+07;0.473836;0
2.057e-07;1e+07;0.495157;0
2.06e-07;1e+07;0.516468;0
2.063e-07;1e+07;0.537732;0
2.066e-07;1e+07;0.558909;0
2.069e-07;1e+07;0.579962;0
2.072e-07;1e+07;0.600856;0
2.075e-07;1e+07;0.621565;0
2.078e-07;1e+07;0.642065;0
2.081e-07;1e+07;0.662337;0
2.084e-07;1e+07;0.682367;0
2.087e-07;1e+07;0.702142;0
2.09e-07;1e+07;0.721651;0
2.093e-07;1e+07;0.740887;0
2.096e-07;1e+07;0.759841;0
2.099e-07;1e+07;0.778507;0
2.102e-07;1e+07;0.796879;0
2.105e-07;1e+07;0.814951;0
2.108e-07;1e+07;0.832717;0
2.111e-07;1e+07;0.850172;0
2.114e-07;1e+07;0.86731;0
2.117e-07;1e+07;0.884125;0
2.12e-07;1e+07;0.900613;0
2.123e-07;1e+07;0.916768;0
2.126e-07;1e+07;0.932584;0
2.129e-07;1e+07;0.948057;0
2.132e-07;1e+07;0.963181;0
2.135e-07;1e+07;0.977952;0
2.138e-07;1e+07;0.992364;0
2.141e-07;1e+07;1.00641;0
2.144e-07;1e+07;1.02009;0
2.147e-07;1e+07;1.0334;0
2.15e-07;1e+07;1.04633;0
2.153e-07;1e+07;1.05888;0
2.156e-07;1e+07;1.07104;0
2.159e-07;1e+07;1.08281;0
2.162e-07;1e+07;1.09419;0
2.165e-07;1e+07;1.10517;0
2.168e-07;1e+07;1.11574;0
2.171e-07;1e+07;1.12591;0
2.174e-07;1e+07;1.13568;0
2.177e-07;1e+07;1.14503;0
2.18e-07;1e+07;1.15396;0
2.183e-07;1e+07;1.16247;0
2.186e-07;1e+07;1.17057;0
2.189e-07;1e+07;1.17824;0
2.192e-07;1e+07;1.18548;0
2.195e-07;1e+07;1.19229;0
2.198e-07;1e+07;1.19867;0
2.201e-07;1e+07;1.20461;0
2.204e-07;1e+07;1.21012;0
2.207e-07;1e+07;1.21519;0
2.21e-07;1e+07;1.21982;0
2.213e-07;1e+07;1.22401;0
2.216e-07;1e+07;1.22776;0
2.219e-07;1e+07;1.23106;0
2.222e-07;1e+07;1.23392;0
2.225e-07;1e+07;1.23633;0
2.228e-07;1e+07;1.23829;0
2.231e-07;1e+07;1.23981;0
2.234e-07;1e+07;1.24087;0
2.237e-07;1e+07;1.24149;0
2.24e-07;1e+07;1.24166;0
2.243e-07;1e+07;1.24138;0
2.246e-07;1e+07;1.24065;0
2.249e-07;1e+07;1.23947;0
2.252e-07;1e+07;1.23785;0
2.255e-07;1e+07;1.23577;0
2.258e-07;1e+07;1.23325;0
2.261e-07;1e+07;1.23029;0
2.264e-07;1e+07;1.22688;0
2.267e-07;1e+07;1.22302;0
2.27e-07;1e+07;1.21872;0
